"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"06-Oct-2017","    10532.20","    10665.60","    10527.55","    10655.35","       16888608","          962.47"
"09-Oct-2017","    10637.35","    10694.25","    10622.80","    10680.20","       16203165","          744.85"
"10-Oct-2017","    10734.55","    10771.95","    10712.05","    10726.15","       16145247","          905.10"
"11-Oct-2017","    10722.10","    10811.05","    10720.45","    10785.25","       20428748","         1006.17"
"12-Oct-2017","    10801.30","    10891.25","    10782.70","    10881.30","       19315828","         1495.61"
"13-Oct-2017","    10915.05","    10997.10","    10880.00","    10924.20","       19084931","         1284.47"
"16-Oct-2017","    10936.85","    10978.00","    10921.90","    10961.60","       12896441","          746.90"
"17-Oct-2017","    10946.85","    11006.65","    10910.40","    10942.70","-","-"
"18-Oct-2017","    10943.30","    11014.05","    10898.65","    10910.15","       17767404","          927.34"
"19-Oct-2017","    10911.50","    10934.85","    10872.80","    10890.75","-","-"
"23-Oct-2017","    10901.25","    11013.40","    10863.15","    10997.85","       17380495","         1103.94"
"24-Oct-2017","    11056.35","    11057.30","    10860.35","    10884.75","       17797268","         1200.67"
"25-Oct-2017","    10829.80","    10986.50","    10799.35","    10925.45","       20609614","         1395.32"
"26-Oct-2017","    10915.65","    10945.45","    10836.00","    10883.05","       59927649","         3212.09"
"27-Oct-2017","    10901.30","    10911.65","    10831.25","    10862.05","       15450898","         1008.03"
"30-Oct-2017","    10892.55","    10913.90","    10842.95","    10854.30","       22591293","         1413.91"
"31-Oct-2017","    10793.10","    10870.55","    10781.00","    10837.90","       18708181","         1061.78"
"01-Nov-2017","    10877.85","    10887.80","    10772.25","    10817.30","       21144732","          919.27"
"02-Nov-2017","    10802.50","    10884.50","    10788.00","    10845.85","       43841311","         1392.57"
"03-Nov-2017","    10840.30","    10873.95","    10824.95","    10839.05","       33003635","          942.86"
"06-Nov-2017","    10834.00","    10952.35","    10820.05","    10929.90","       41655369","         1291.85"
"07-Nov-2017","    10942.40","    11243.20","    10934.50","    11172.10","       42589657","         2203.45"
"08-Nov-2017","    11227.70","    11306.45","    11197.60","    11245.90","       23663675","         1264.48"
"09-Nov-2017","    11275.45","    11301.25","    11201.65","    11248.45","       14342859","          788.03"
"10-Nov-2017","    11270.00","    11272.00","    11151.10","    11222.55","       15489961","          962.32"
"13-Nov-2017","    11188.50","    11341.50","    11188.50","    11236.20","       14896394","         1027.33"
"14-Nov-2017","    11240.55","    11275.65","    11139.80","    11168.75","       17032126","          919.21"
"15-Nov-2017","    11158.00","    11211.70","    11110.80","    11122.85","       18968002","         1683.80"
"16-Nov-2017","    11145.55","    11343.60","    11059.00","    11317.25","       25745297","         1502.87"
"17-Nov-2017","    11311.95","    11311.95","    11127.00","    11150.00","       17244516","         1049.22"
"20-Nov-2017","    11161.70","    11173.65","    11072.95","    11100.10","       15587633","          869.17"
"21-Nov-2017","    11120.80","    11166.35","    11087.15","    11119.45","       16528695","          987.12"
"22-Nov-2017","    11133.80","    11167.65","    11098.65","    11117.50","       15085538","         1008.76"
"23-Nov-2017","    11149.80","    11255.05","    11132.75","    11230.60","       17176802","         1132.51"
"24-Nov-2017","    11240.40","    11352.55","    11235.75","    11306.40","       23794202","         1677.78"
"27-Nov-2017","    11290.85","    11326.00","    11239.40","    11314.25","       16266300","         1036.66"
"28-Nov-2017","    11303.35","    11324.90","    11242.85","    11270.60","       13654824","          775.78"
"29-Nov-2017","    11266.95","    11299.35","    11211.15","    11232.90","       14186355","          789.74"
"30-Nov-2017","    11233.50","    11241.80","    11060.10","    11115.30","       36562941","         2305.91"
"01-Dec-2017","    11123.60","    11180.40","    10930.95","    10948.50","       15744634","          766.04"
"04-Dec-2017","    11007.95","    11138.10","    10901.10","    11081.65","       28758345","         1619.53"
"05-Dec-2017","    11079.35","    11121.85","    11005.90","    11025.40","       22390897","         1209.54"
"06-Dec-2017","    11024.55","    11099.05","    11006.20","    11074.90","       26426388","         1170.90"
"07-Dec-2017","    11075.55","    11178.80","    11057.45","    11163.45","       25529596","         1338.80"
"08-Dec-2017","    11189.80","    11249.30","    11159.75","    11173.40","       18936548","         1021.67"
"11-Dec-2017","    11178.90","    11343.15","    11170.45","    11324.00","       14923112","          856.25"
"12-Dec-2017","    11327.70","    11341.75","    11251.70","    11272.45","       19365806","         1298.25"
"13-Dec-2017","    11257.05","    11328.75","    11210.70","    11251.70","       18858996","         1362.11"
"14-Dec-2017","    11257.95","    11307.90","    11174.65","    11275.40","       20290720","         1712.66"
"15-Dec-2017","    11299.60","    11337.00","    11245.55","    11288.30","       24617772","         1646.03"
"18-Dec-2017","    11211.80","    11345.40","    11096.60","    11315.20","       19133106","         1017.29"
"19-Dec-2017","    11324.55","    11334.05","    11214.60","    11240.65","       21155830","         1200.95"
"20-Dec-2017","    11267.40","    11322.20","    11198.60","    11304.20","       14537868","          868.23"
"21-Dec-2017","    11317.50","    11406.40","    11288.75","    11374.30","       15989407","         1108.95"
"22-Dec-2017","    11368.20","    11532.75","    11345.25","    11501.90","       18433681","         1574.07"
"26-Dec-2017","    11503.00","    11531.25","    11454.90","    11507.40","       17496410","         1224.74"
"27-Dec-2017","    11490.30","    11538.70","    11465.60","    11509.25","       13758340","          825.30"
"28-Dec-2017","    11481.80","    11549.80","    11460.80","    11496.40","       33607636","         1547.85"
"29-Dec-2017","    11479.50","    11689.75","    11430.65","    11665.75","      123646100","         2644.27"
